Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059,1095876,1013458,932638,857608,782490
1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059,1095876,1013458,932638,857608
2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059,1095876,1013458,932638
2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059,1095876,1013458
2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059,1095876
2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737,1176059
2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427,1249737
2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438,1321427
2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200,1396438
2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538,1480200
2707742,2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929,1565538
2811603,2707742,2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025,1657929
2897624,2811603,2707742,2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164,1736025
2972363,2897624,2811603,2707742,2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192,1835164
3041764,2972363,2897624,2811603,2707742,2624107,2548821,2471759,2400843,2317339,2239723,2151872,2055506,1975581,1905192
