,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
4/18/20,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181,113296,107663,103374,100123,96092
4/19/20,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181,113296,107663,103374,100123
4/20/20,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181,113296,107663,103374
4/21/20,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181,113296,107663
4/22/20,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181,113296
4/23/20,153129,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171,118181
4/24/20,154999,153129,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908,122171
4/25/20,156513,154999,153129,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854,124908
4/26/20,157770,156513,154999,153129,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072,127854
4/27/20,158758,157770,156513,154999,153129,150648,148291,147065,145184,143342,141397,137698,134753,131359,130072
