,Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
4/15/20,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284,10237,10156,10062,9976,9887
4/16/20,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284,10237,10156,10062,9976
4/17/20,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284,10237,10156,10062
4/18/20,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284,10237,10156
4/19/20,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284,10237
4/20/20,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331,10284
4/21/20,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384,10331
4/22/20,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423,10384
4/23/20,10708,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450,10423
4/24/20,10718,10708,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480,10450
4/25/20,10728,10718,10708,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512,10480
4/26/20,10738,10728,10718,10708,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537,10512
4/27/20,10752,10738,10728,10718,10708,10694,10683,10674,10661,10653,10635,10613,10591,10564,10537
